id,text,label
1,"The shawarma here is amazing, best I've had in Manama!",positive
2,"مطعم زين بس الخدمة شوي بطيئة",neutral
3,"Service was painfully slow, we waited 40 minutes just for water.",negative
4,"الأكل خوش بس الأسعار وايد غالية",negative
5,"Decent food, nothing special but not bad either.",neutral
6,"تجربة خرافية! الشباب اللي يشتغلون هناك وايد محترمين",positive
7,"Absolutely loved the ambience at this Adliya cafe, will come back for sure.",positive
8,"صراحة ما عيبني، الطعم مب زين والخدمة بطيئة وايد",negative
9,"Brunch menu was okay, a couple of dishes came out cold.",neutral
10,"مكان حلو للعوائل، الجو خوش والأكل طازة",positive
11,"Best machboos I've ever tasted, tastes just like home cooking.",positive
12,"ما ياخذ وقت، الأكل طلع بسرعة وطعمه خرافي",positive
13,"Rude staff, they literally ignored us for 20 minutes.",negative
14,"وربي الخدمة ما تنعاد، الويتر رد علينا بعصبية",negative
15,"Nice view of the sea from the rooftop, food was average though.",neutral
16,"الحچي الحلو مب چذي، الأكل بارد والطلب متأخر وايد",negative
17,"Fantastic experience overall, the staff went above and beyond.",positive
18,"تجربة عادية بس، مب شي يستاهل نرجع له مرة ثانية",neutral
19,"The biryani was too spicy for my taste, but my husband loved it.",neutral
20,"الفطور خرافي وايد، خصوصا البلاليط والچباب",positive
21,"Terrible experience, found a hair in my food and no one apologized.",negative
22,"الشاورما هني أحلى شي جربته، رخيصة ومية المية",positive
23,"Cozy little place in Seef, perfect for a quiet dinner.",positive
24,"قعدنا نستنى الفاتورة نص ساعة، عيل وين الموظفين؟",negative
25,"Prices are way too high for the portion sizes they give.",negative
26,"الجلسة الخارجية حلوة بس الذباب كثير وايد",negative
27,"It was fine. Nothing that stood out, nothing that was bad.",neutral
28,"الحلا كان تحفة، خصوصا أم علي",positive
29,"Wow, waited an hour and they still brought the wrong order. Impressive.",negative
30,"الأسعار معقولة مقارنة بمطاعم ثانية بالسيف",positive
31,"Karak tea here is legendary, always my first stop in Manama souq.",positive
32,"الأكل بارد لما وصل الطاولة، للأسف",negative
33,"The staff barely spoke English and seemed annoyed when we asked questions.",negative
34,"الموظفين ودودين وايد ويسألون عننا كل شوي",positive
35,"I would give zero stars if I could, worst customer service ever.",negative
36,"مب عاجبني الديكور، حسيته قديم شوي",neutral
37,"Loved the live oud music during dinner, very authentic Bahraini vibe.",positive
38,"طلبنا مقبلات وما جابوها إلا بعد لا خلصنا الوجبة",negative
39,"Food came out lukewarm and the waiter forgot our appetizers entirely.",negative
40,"مكان زين للعائلة، فيه كراسي أطفال ومساحة واسعة",positive
41,"Great value for money, huge portions and friendly staff.",positive
42,"الأكل عادي، مب شي يخليك ترجع له بسرعة",neutral
43,"Fresh seafood, cooked perfectly, will definitely recommend to friends.",positive
44,"خدمة توصيل سريعة، وصل الطلب سخن وطازة",positive
45,"Not the worst place I've eaten at, but I probably won't return.",negative
46,"الجلسة داخل المطعم ضيقة وايد ومزدحمة",negative
47,"Honestly one of the best brunches in Bahrain, worth every dinar.",positive
48,"قهوتهم العربية خرافية، دايم أطلب منها",positive
49,"The manager was very helpful when we complained about the noise.",positive
50,"واجهة المطعم حلوة بس من الداخل الإضاءة ضعيفة",neutral
51,"Cold coffee, stale bread, and a waiter who never smiled once.",negative
52,"استغربت من رد الكاشير، كان متضايق بدون سبب",negative
53,"It's an okay spot for a quick lunch, nothing to write home about.",neutral
54,"Perfect location, walking distance to the mall and metro station.",positive
55,"Staff kept upselling us things we didn't ask for, felt pushy.",negative
56,"The dessert menu is small but everything we tried was delicious.",positive
57,"Yeah sure, 'quick service' - only took 45 minutes for a sandwich.",negative
58,"Portion sizes were tiny for the price we paid.",negative
59,"We were seated near the kitchen, very noisy and hot.",negative
60,"Not bad, but I've had better hummus at other places in town.",neutral
