id,text,label
1,"The shawarma here is amazing, best I've had in Manama!",Food Quality
2,"مطعم زين بس الخدمة شوي بطيئة",Service
3,"Service was painfully slow, we waited 40 minutes just for water.",Waiting Time
4,"الأكل خوش بس الأسعار وايد غالية",Price
5,"Decent food, nothing special but not bad either.",Food Quality
6,"تجربة خرافية! الشباب اللي يشتغلون هناك وايد محترمين",Service
7,"Absolutely loved the ambience at this Adliya cafe, will come back for sure.",Atmosphere
8,"صراحة ما عيبني، الطعم مب زين والخدمة بطيئة وايد",Food Quality
9,"Brunch menu was okay, a couple of dishes came out cold.",Food Quality
10,"مكان حلو للعوائل، الجو خوش والأكل طازة",Atmosphere
11,"Best machboos I've ever tasted, tastes just like home cooking.",Food Quality
12,"ما ياخذ وقت، الأكل طلع بسرعة وطعمه خرافي",Waiting Time
13,"Rude staff, they literally ignored us for 20 minutes.",Service
14,"وربي الخدمة ما تنعاد، الويتر رد علينا بعصبية",Service
15,"Nice view of the sea from the rooftop, food was average though.",Location
16,"الحچي الحلو مب چذي، الأكل بارد والطلب متأخر وايد",Waiting Time
17,"Fantastic experience overall, the staff went above and beyond.",Service
18,"تجربة عادية بس، مب شي يستاهل نرجع له مرة ثانية",Atmosphere
19,"The biryani was too spicy for my taste, but my husband loved it.",Food Quality
20,"الفطور خرافي وايد، خصوصا البلاليط والچباب",Food Quality
21,"Terrible experience, found a hair in my food and no one apologized.",Cleanliness
22,"الشاورما هني أحلى شي جربته، رخيصة ومية المية",Price
23,"Cozy little place in Seef, perfect for a quiet dinner.",Atmosphere
24,"قعدنا نستنى الفاتورة نص ساعة، عيل وين الموظفين؟",Waiting Time
25,"Prices are way too high for the portion sizes they give.",Price
26,"الجلسة الخارجية حلوة بس الذباب كثير وايد",Cleanliness
27,"It was fine. Nothing that stood out, nothing that was bad.",Food Quality
28,"الحلا كان تحفة، خصوصا أم علي",Food Quality
29,"Wow, waited an hour and they still brought the wrong order. Impressive.",Waiting Time
30,"الأسعار معقولة مقارنة بمطاعم ثانية بالسيف",Price
31,"Karak tea here is legendary, always my first stop in Manama souq.",Food Quality
32,"الأكل بارد لما وصل الطاولة، للأسف",Food Quality
33,"The staff barely spoke English and seemed annoyed when we asked questions.",Service
34,"الموظفين ودودين وايد ويسألون عننا كل شوي",Service
35,"I would give zero stars if I could, worst customer service ever.",Service
36,"مب عاجبني الديكور، حسيته قديم شوي",Atmosphere
37,"Loved the live oud music during dinner, very authentic Bahraini vibe.",Atmosphere
38,"طلبنا مقبلات وما جابوها إلا بعد لا خلصنا الوجبة",Waiting Time
39,"Food came out lukewarm and the waiter forgot our appetizers entirely.",Service
40,"مكان زين للعائلة، فيه كراسي أطفال ومساحة واسعة",Atmosphere
41,"Great value for money, huge portions and friendly staff.",Price
42,"الأكل عادي، مب شي يخليك ترجع له بسرعة",Food Quality
43,"Fresh seafood, cooked perfectly, will definitely recommend to friends.",Food Quality
44,"خدمة توصيل سريعة، وصل الطلب سخن وطازة",Waiting Time
45,"Not the worst place I've eaten at, but I probably won't return.",Food Quality
46,"الجلسة داخل المطعم ضيقة وايد ومزدحمة",Atmosphere
47,"Honestly one of the best brunches in Bahrain, worth every dinar.",Price
48,"قهوتهم العربية خرافية، دايم أطلب منها",Food Quality
49,"The manager was very helpful when we complained about the noise.",Service
50,"واجهة المطعم حلوة بس من الداخل الإضاءة ضعيفة",Atmosphere
51,"Cold coffee, stale bread, and a waiter who never smiled once.",Food Quality
52,"استغربت من رد الكاشير، كان متضايق بدون سبب",Service
53,"It's an okay spot for a quick lunch, nothing to write home about.",Food Quality
54,"Perfect location, walking distance to the mall and metro station.",Location
55,"Staff kept upselling us things we didn't ask for, felt pushy.",Service
56,"The dessert menu is small but everything we tried was delicious.",Food Quality
57,"Yeah sure, 'quick service' - only took 45 minutes for a sandwich.",Waiting Time
58,"Portion sizes were tiny for the price we paid.",Price
59,"We were seated near the kitchen, very noisy and hot.",Atmosphere
60,"Not bad, but I've had better hummus at other places in town.",Food Quality
